X,Y,Z,Type
Timestamp: ,1908227962134198,Normal
0.0,0.0,0.0,Normal
-0.7788582,0.5956583,2.3932838,Normal
-2.6593657,-0.60361004,-1.1098456,Normal
-1.2568102,-1.179347,-4.267489,Normal
-2.1346512,0.76496124,-0.6717075,Normal
-0.42488003,1.2654305,1.697957,Normal
0.26635265,-1.5465441,-0.42438495,Normal
0.9905782,0.34022427,-2.2918417,Normal
0.68869305,1.640698,-0.74796426,Normal
-0.2684884,1.1731253,-0.03169468,Normal
1.2301784,-0.53686714,-1.4010134,Normal
-0.06598759,0.1635971,-0.28419375,Normal
-0.027561188,-0.50643635,-0.065760136,Normal
-0.88714504,-0.38196468,0.81419814,Normal
-3.4533854,-2.8855586,0.25569344,Normal
1.0971131,3.304205,1.725318,Normal
-0.094183445,0.8521123,1.6525279,Normal
0.28186178,0.3060279,-2.2004488,Normal
0.7886419,0.60478354,-0.7380746,Normal
-0.18068933,-1.7679353,-0.44460255,Normal
-1.0676379,-1.7526278,0.50369215,Normal
-0.68436193,-0.22093391,0.35336846,Normal
1.3721967,1.6754165,1.2164242,Normal
-2.7791195,0.84053564,0.7795433,Normal
-0.6816249,-1.0308042,3.445385,Normal
2.6447806,2.3644204,0.013258576,Normal
1.928968,1.3373137,1.4850675,Normal
3.5410123,0.88782024,-0.6172972,Normal
-2.552824,1.2232475,-0.5303832,Normal
1.1912489,-0.95793104,1.7604668,Normal
-1.7540832,-2.637457,-1.0931404,Normal
-1.3606758,3.4253488,-0.4998663,Normal
1.346652,0.49403143,0.6054569,Normal
3.654345,3.4298701,1.6802872,Normal
0.31772423,-4.206761,0.038005173,Normal
-0.28413963,-2.5450659,-3.159872,Normal
-1.200871,-3.055512,-0.7650843,Normal
-1.9499416,-4.1076546,-1.8908272,Normal
-1.4284568,3.4106674,-1.0901288,Normal
1.0720463,0.01589632,1.1636112,Normal
0.5868435,-0.11218405,0.06897867,Normal
-1.4604607,-0.09748793,-1.2520168,Normal
0.74193144,-0.036348343,-2.3180792,Normal
-0.9257741,0.36031199,-0.96889377,Normal
0.193542,-0.06761408,-0.15516573,Normal
0.07236004,0.1051836,0.11990738,Normal
0.16077805,0.14547348,0.30354497,Normal
0.16219616,0.053627968,0.1995427,Normal
0.086548805,0.053435802,-0.21853845,Normal
0.03455925,0.057531834,-0.04669445,Normal
-0.123767376,-0.15913105,-0.10989118,Normal
-0.12239027,-0.13450289,0.010038286,Normal
0.002670765,-0.0010004044,-0.024877086,Normal
0.056550503,0.048429966,-0.2613724,Normal
0.18198681,0.08429575,-0.48505288,Normal
0.038790226,0.22220135,-0.47970715,Normal
0.15773201,0.19147587,0.00864087,Normal
0.17290878,-0.31581545,0.06252408,Normal
0.04584503,0.65252733,0.33756876,Normal
0.065713406,0.031469345,3.9898055,Normal
-0.3731675,0.7907796,2.8847156,Normal
-0.7954254,0.70992947,0.765136,Normal
-0.59328365,-0.61756706,-0.6794714,Normal
-0.30631828,-1.0578418,-1.0324192,Normal
0.41430092,1.4625492,1.6406462,Normal
-1.2607594,1.0287032,-0.78575075,Normal
-0.47779703,0.4294567,-2.2226675,Normal
0.07648802,-1.1203113,0.7034455,Normal
0.8519931,-0.6677079,1.1914634,Normal
-0.63077736,3.3268957,-0.3445915,Normal
0.47298384,0.58585596,-3.318881,Normal
1.148427,1.1181164,2.0197806,Normal
0.4662695,0.15890884,1.1009321,Normal
-1.4742088,0.23927927,-1.5717064,Normal
0.82132006,-0.4292736,-0.106125236,Normal
-0.37633038,-1.043426,0.17146683,Normal
-0.12669659,0.13699722,-1.1480598,Normal
-0.74936867,-0.6356716,0.64914286,Normal
-0.28273916,-0.12918425,-0.19828331,Normal
-0.3562107,-0.19085693,1.2773875,Normal
0.5580187,-0.49517918,0.6202693,Normal
-0.26560974,1.7059851,-0.4960649,Normal
0.54546213,-0.6851945,-0.083036065,Normal
0.5886769,-1.304214,1.8338051,Normal
0.79343224,0.86262894,-0.8186441,Normal
-0.17540932,-0.33786178,0.7596162,Normal
-0.07983112,0.3895383,-0.11974239,Normal
1.4838057,0.9294586,0.2946515,Normal
-2.0302753,-2.023785,0.07642269,Normal
-5.5181046,-0.7250128,2.2801259,Normal
1.9574018,0.28697968,-0.9632946,Normal
1.2444515,1.0760303,0.94871426,Normal
-0.04558134,-0.9291868,-0.42349362,Normal
-2.5977726,-0.9784918,1.7869809,Normal
0.71165895,0.19382048,0.0896132,Normal
2.9770446,1.285191,-1.3425119,Normal
-1.8464203,-0.6982646,-0.2510991,Normal
0.28056908,0.26659822,0.55810094,Normal
0.44818974,0.62243795,0.9670677,Normal
0.15725422,-0.40344524,0.23009384,Normal
0.122962,0.039501667,-0.38968,Normal
-1.1834688,-1.6102514,0.039989233,Normal
-0.3220291,-0.28875256,-0.15076256,Normal
-1.9956565,-2.2040515,-0.36250365,Normal
-0.1936183,-0.56102514,-0.017260551,Normal
1.3566384,1.9517927,0.89643204,Normal
-0.12125301,0.3841827,0.5958378,Normal
0.8764515,0.90587664,0.64030087,Normal
0.76160145,0.91070366,-0.5856361,Normal
-0.15930176,0.44793987,0.20988631,Normal
-0.6473999,-0.8799958,0.32706213,Normal
-0.8387017,-0.6375313,-0.352844,Normal
-0.011697769,0.95607805,0.11506057,Normal
-0.45238113,0.85223913,0.298033,Normal
0.75152016,0.90310824,0.21032059,Normal
-0.041103363,-1.396606,-0.89212036,Normal
-0.30155087,-0.48114467,-0.48445785,Normal
0.07050228,-0.7941316,-0.14993119,Normal
-0.2257309,0.32420182,0.80500305,Normal
-0.8529453,-1.6350137,2.1951952,Normal
0.5660114,0.12162185,2.4934726,Normal
-0.11391258,-0.72837853,-1.3609176,Normal
-0.56980705,-0.7311778,-0.38984734,Normal
-3.126155,-2.6752193,-1.4686234,Normal
1.1280823,0.096179485,0.1059186,Normal
0.39556026,-0.19455051,0.39622477,Normal
0.35578156,0.5054903,-0.26254562,Normal
-0.95291233,0.1091454,-1.0111418,Normal
-0.3517456,0.597255,0.63013935,Normal
0.46762657,1.1123719,-0.14393336,Normal
-0.30951405,-0.22314477,-0.17004591,Normal
1.902895,1.1561911,-0.2312609,Normal
-0.27791023,-0.07876146,0.41069534,Normal
-0.77511215,-0.78252745,-0.23267892,Normal
0.44889927,0.45488024,0.3378495,Normal
0.6845875,0.22127485,-0.90145457,Normal
0.22516155,-0.10411453,-0.21488069,Normal
-0.638422,-0.40793896,-1.155257,Normal
-0.29941368,0.87465143,-0.41754448,Normal
0.5656681,-0.90432405,1.1802907,Normal
-0.7543907,-0.5485263,1.0634083,Normal
-1.03932,-0.3400278,-0.64490235,Normal
-1.2739105,-0.61781836,0.1361261,Normal
-0.20219326,-0.5918927,1.1925932,Normal
0.46375275,0.024205685,0.5825643,Normal
-0.024897575,0.42131758,-0.06271636,Normal
0.6601715,0.7710972,0.20772146,Normal
-0.8022585,-1.2230935,0.09307897,Normal
-1.1844273,-1.5674434,-1.4830158,Normal
-1.0901761,-0.5108485,1.0579169,Normal
0.054391384,0.023802757,0.36259025,Normal
-0.94396544,-0.13394308,1.0733092,Normal
0.36784077,0.61778164,-0.34257197,Normal
0.31446648,0.17300463,-1.150894,Normal
1.0205932,0.9632702,-0.8684248,Normal
0.1586194,0.50532246,0.19019014,Normal
-0.02881813,-0.73300934,0.26881015,Normal
-0.36590385,0.26945496,-0.52263474,Normal
0.29370594,0.32961273,-0.14666772,Normal
0.7299986,0.52421284,0.27242637,Normal
2.800456,1.8577471,-0.5018201,Normal
-0.12857437,1.0744772,-0.68101466,Normal
0.04413128,-0.38193226,0.08640432,Normal
0.65997505,0.14421463,-0.0733788,Normal
-0.28760815,-0.36318684,0.5027976,Normal
-1.9436064,0.71802807,0.97997296,Normal
1.4485993,-0.9080837,-0.6995038,Normal
2.3972282,0.52843475,-2.0562248,Normal
-1.2511024,4.8357873,0.9638207,Normal
-1.3088307,-0.96600866,3.44599,Normal
0.1394186,-1.8315506,1.3820307,Normal
-2.7937365,1.1515961,-0.9359896,Normal
2.9483643,-0.6422882,-3.096037,Normal
0.70264006,1.5643897,-1.1840551,Normal
-5.1077814,4.243985,3.6030133,Normal
0.1510706,-0.18127823,7.057596,Normal
4.4253817,0.5336294,1.1656249,Normal
-10.6633415,3.6366324,-3.0759287,Normal
2.9024715,0.6537776,1.5950047,Normal
-0.7577448,-3.80898,-6.0924444,Normal
-1.2695456,2.1021228,-1.4366875,Normal
0.9938736,0.8419614,0.26392084,Normal
0.16629505,-0.24076176,-0.9035475,Normal
1.3065281,2.7162347,0.045125127,Normal
-0.47929287,-0.20477617,0.34001416,Normal
1.4277191,0.0924294,-0.6289109,Normal
0.20266724,1.1699805,-1.2550019,Normal
0.89084435,-0.3246739,-0.45959365,Normal
-2.0581532,-0.93473935,1.4923412,Normal
1.3117476,-1.2659092,0.3448013,Normal
0.13940954,0.050215244,0.5491916,Normal
0.2910366,0.27622414,-1.4444796,Normal
-1.2066231,-0.69162655,-1.2164769,Normal
-1.1949949,-0.8400297,0.77630013,Normal
0.0704298,5.197525E-4,-0.30830866,Normal
1.5459976,0.13299751,-0.58363885,Normal
0.95301914,1.612154,-0.26864457,Normal
1.3326359,-0.5108967,-0.074485034,Normal
0.13718414,1.8065782,-0.8935008,Normal
0.30150604,1.5788403,-0.20139042,Normal
1.4680066,0.008913517,0.11508012,Normal
-0.14886951,1.106108,-0.18490621,Normal
-0.40222073,-1.0276227,-0.7132766,Normal
0.91877174,-0.11586881,-0.76384974,Normal
-0.47553444,0.09047222,0.64035195,Normal
1.1120825,0.32163095,-1.3282366,Normal
0.48537254,-0.21183348,0.5420016,Normal
-2.597847,-0.43115044,0.25066423,Normal
2.410859,0.55316114,-0.1865108,Normal
-2.2124825,-0.13904166,-0.70112014,Normal
1.8418803,0.1572628,0.15046,Normal
-1.1971121,0.09198809,-1.7715256,Normal
-1.50383,-1.0517268,-0.41594395,Normal
1.595602,-0.30603838,1.5122874,Normal
2.1241493,3.041771,0.45954132,Normal
0.2151022,1.2034609,-1.5546521,Normal
-0.60401535,-0.4773245,0.14608288,Normal
-0.88013554,-0.9990418,-0.7868726,Normal
0.061120987,-0.90972304,0.1657514,Normal
-0.36715412,-0.6639457,0.42258835,Normal
-0.03938389,-0.5334096,0.50181925,Normal
0.7189264,-0.803653,0.017902493,Normal
-0.18931007,-1.1396408E-4,-1.1282624,Normal
0.37816334,-0.03768444,-0.6447698,Normal
-0.5843735,-0.14670753,0.7506869,Normal
-0.30780315,0.5526581,0.7081976,Normal
0.40499306,-0.43037367,0.49688387,Normal
2.0750718,-0.27875853,-1.7659967,Normal
-1.6501884,1.6963882,0.42694134,Normal
-0.26473236,0.5045686,2.1585972,Normal
0.1843605,0.16608334,2.2206852,Normal
-2.9674373,2.0818753,5.0806336,Normal
5.079096,-0.05474329,0.48194432,Normal
-10.149538,2.9928517,-2.2430222,Normal
-5.3473806,1.7488228,-0.20068645,Normal
-0.9640503,-2.166041,0.47287703,Normal
-1.0632191,1.2565975,-2.6943383,Normal
0.47703838,0.3447826,-0.7731317,Normal
-0.9854088,0.72727275,0.058679044,Normal
0.030327797,-2.208223,-1.1530131,Normal
1.1672773,0.03610134,-1.3625512,Normal
-0.11659145,-0.54987097,-0.36187494,Normal
0.117239,-0.29097295,-0.9238336,Normal
-0.38991642,-1.0825424,-0.24179101,Normal
1.0200243,-0.18639493,-1.0834177,Normal
1.4676175,1.6872334,0.04065585,Normal
0.9461055,1.1455989,3.2996938,Normal
-2.6488218,-3.187596,2.4428682,Normal
-3.535924,0.4316821,1.9431406,Normal
2.7421145,-2.238644,3.6147232,Normal
4.9123087,2.0277715,-1.8444507,Normal
-2.906476,1.0007625,-1.9722034,Normal
-1.4445877,1.0659943,-1.6423571,Normal
-2.7293377,1.4834099,1.2047048,Normal
-3.824359,0.5860815,3.6394835,Normal
-4.1590147,-0.04924059,6.0370736,Normal
2.6723676,-2.1876726,0.50179446,Normal
2.8546033,0.5011344,-0.38177824,Normal
3.259623,-2.287921,-3.134838,Normal
-0.8707733,-0.07124472,-0.59663844,Normal
1.2542543,0.5403838,-0.7495643,Normal
-1.3514433,-1.595943,-1.326849,Normal
-3.0701213,-2.2850804,0.056846738,Normal
2.417523,1.45361,0.48123443,Normal
0.05564022,0.42498636,-1.1972346,Normal
-1.9181881,-0.7372689,-0.014520347,Normal
0.43914413,0.15286303,-0.43119794,Normal
0.997077,0.10797787,-0.3045055,Normal
-0.6974659,-0.009527206,-0.1136605,Normal
0.19109821,-0.6512189,-0.40786558,Normal
-1.0706749,-0.70431376,-0.44697157,Normal
0.8950138,-0.23910284,-1.0486667,Normal
0.6410475,1.3367944,0.20843363,Normal
0.5055723,0.86385155,1.7359984,Normal
-0.23170757,0.3764701,0.2794689,Normal
0.34477425,-0.9493394,-2.3515787,Normal
-5.0843663,-2.14603,4.1462255,Normal
-1.0125828,-0.75693786,9.378807,Normal
-1.2699804,2.3241408,10.01403,Normal
3.484366,-6.401063,-0.028726637,Normal
-18.49692,15.991165,1.3082485,Normal
-7.705117,3.989902,-0.4116211,Normal
-0.3225007,-4.6292143,1.5870945,Normal
-2.850061,-1.4141812,-3.4378626,Normal
-3.2699347,3.1029677,-2.756181,Normal
-1.0694165,0.95914507,-3.627995,Normal
-0.98364496,0.525475,0.31250393,Normal
-2.455275,1.1746607,-0.65912604,Normal
-1.0994763,-0.08851147,-2.471095,Normal
