X,Y,Z,Type
Timestamp: ,1815773055364864,Slow
0.0,0.0,0.0,Slow
0.399477,-0.14555454,-0.65918076,Slow
-1.1236366,0.58101845,0.99282986,Slow
0.7058985,-0.0511446,0.7605533,Slow
-0.329952,-0.07983589,0.28545344,Slow
0.08105254,-0.138381,0.5868653,Slow
1.0120778,0.09011936,-0.1478219,Slow
1.5895487,0.42062283,-0.12673342,Slow
-1.7644542,-0.11003685,0.45175433,Slow
-0.40500566,0.09093666,0.3827796,Slow
-0.087292,-0.06315136,0.90186477,Slow
-0.05932787,-0.10737038,0.9063009,Slow
0.6787856,-0.15955067,0.7835535,Slow
-1.2222922,0.7399912,1.2789687,Slow
0.76458234,-0.16356945,1.010745,Slow
1.0685129,-0.38271713,-1.1553476,Slow
-1.3504015,-0.8786092,-1.3746805,Slow
-3.9521656,-1.1312642,1.0457377,Slow
-0.87656265,3.3180332,0.41174555,Slow
0.20720237,-1.3910894,1.4920489,Slow
-0.85614353,-0.59929085,2.6287374,Slow
1.9191048,0.3870592,-2.4743567,Slow
3.4036193,6.52683,-4.9060574,Slow
2.7129323,2.3669116,-0.9536977,Slow
0.17982674,-1.4607677,0.25137758,Slow
-5.0601397,-1.8668432,4.525735,Slow
-1.6635877,-0.840631,2.0955882,Slow
-2.713098,-1.7208433,1.4958103,Slow
-1.5367322,-1.8908043,2.1778438,Slow
1.8241302,-1.2336802,0.528842,Slow
2.9382467,2.5942316,-3.6052058,Slow
0.012986422,2.2582178,-1.8817104,Slow
0.60261226,0.3861928,-1.4677403,Slow
-2.1462889,0.22628355,-0.8923669,Slow
-1.628705,-1.2739992,0.8130958,Slow
-2.219502,-0.14488792,2.0166364,Slow
0.61345583,1.0445461,-1.3232291,Slow
1.7392943,0.35699654,0.59611654,Slow
0.772013,0.4198389,-0.96766186,Slow
0.8038119,1.3941956,-1.9359269,Slow
0.57142365,1.608387,-1.1243382,Slow
-1.4442542,-1.485795,2.3796616,Slow
-0.236655,0.18323708,0.3420267,Slow
-0.37796712,-0.014154434,-0.19511223,Slow
